tipo,nombre_rh,codigo,descripcion,este,norte,altitud,categoria,estado,cuenca
Quebrada,Honda,QHond1,"Quebrada Honda, aguas arriba del centro poblado Pampa Sitana (km. 15).",303 871,8 061 222,892,Cat. 3,Inactivo,LOCUMBA
Río,Calumbraya,RCalu1,"Rio Calumbraya, aguas arriba de su confluencia con el rio Ilabaya.",339 356,8 073 158,1 388,Cat. 3,Inactivo,LOCUMBA
Río,Cinto,RCint1,"Rio Cinto, aguas arriba del puente Higuerani.",335 223,8 081 244,2 425,Cat. 3,Inactivo,LOCUMBA
Quebrada,Boroqueña,QBoro1,"Quebrada Boroqueña, sector Ancocruz, aguas arriba del puente Boroqueña.",347 738,8 085 234,2 812,Cat. 3,Inactivo,LOCUMBA
Río,Calientes,RCali1,"Rio Calientes, aguas arriba de la bocatoma Chiquitoma.",379 668,8 109 167,4 396,Cat. 4,Inactivo,LOCUMBA
Río,Callazas,RCall0,"Río Callazas, antes de la confluencia con el río Caracara.",365 411,8 117 342,4 369,Cat. 4,Inactivo,LOCUMBA
Río,Locumba,RLocu6,"Rio Locumba, ingreso a humedales de Ite (puente Costanera).",292 594,8 019 040,9,Cat. 3,Activo,LOCUMBA
Laguna,Suches,LSuch1S,"Laguna Suches, al interior parte media a 1,5 km del campamento en dirección al muelle, nivel superficie.",350 673,8 127 271,4 460,Cat. 4,Activo,LOCUMBA
Laguna,Suches,LSuch1F,"Laguna Suches, al interior parte media a 1,5 km del campamento en dirección al muelle, nivel fondo.",350 673,8 127 271,4 460,Cat. 4,Activo,LOCUMBA
Laguna,Suches,LSuch2S,"Laguna Suches, cerca tributarios y bofedal Huaytire, nivel superficie.",352 715,8 128 900,4 460,Cat. 4,Activo,LOCUMBA
Laguna,Suches,LSuch2F,"Laguna Suches, cerca tributarios y bofedal Huaytire, nivel fondo.",352 715,8 128 900,4 460,Cat. 4,Activo,LOCUMBA
Laguna,Suches,LSuch3S,"Laguna Suches, al interior a 1 km del muelle en linea recta, nivel superficie.",350 288,8 128 433,4 459,Cat. 4,Inactivo,LOCUMBA
Laguna,Suches,LSuch3F,"Laguna Suches, al interior a 1 km del muelle en linea recta, nivel fondo.",350 288,8 128 433,4 459,Cat. 4,Inactivo,LOCUMBA
Río,Huaytire,RHuay1,"Río Huaytire, tributario a Laguna Suches.",352 540,8 133 815,4 519,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric1S,"Laguna Aricota, cerca de las jaulas flotantes, nivel superficie.",360 597,8 079 983,2 734,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric1F,"Laguna Aricota, cerca de las jaulas flotantes, nivel fondo.",360 597,8 079 983,2 734,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric2S,"Laguna Aricota, región central, nivel superficie.",363 130,8 080 455,2 734,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric2F,"Laguna Aricota, región central, nivel fondo.",363 130,8 080 455,2 734,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric3S,"Laguna Aricota, cerca de ingreso del río Callazas, nivel superficie.",364 768,8 081 585,2 734,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric3F,"Laguna Aricota, cerca de ingreso del río Callazas, nivel fondo.",364 768,8 081 585,2 734,Cat. 4,Activo,LOCUMBA
Laguna,Aricota,LAric4S,"Laguna Aricota, cerca de caseta de bombeo EGESUR,  nivel superficie.",361 716,8 079 136,2 734,Cat. 4,Inactivo,LOCUMBA
Laguna,Aricota,LAric4F,"Laguna Aricota, cerca de caseta de bombeo EGESUR, nivel fondo.",361 716,8 079 136,2 734,Cat. 4,Inactivo,LOCUMBA
Quebrada,Culcavira,QCulc1,"Quebrada Culcavira, ingreso a la represa Paucarani.",417 525,8 062 177,4 557,Cat. 4,Inactivo,USHUSUMA
Quebrada,Curimani,QCuri1,"Quebrada Curimani, ingreso a la represa Paucarani.",417 240,8 061 895,4 559,Cat. 4,Inactivo,USHUSUMA
Quebrada,Uncalluta,QUnca1,"Quebrada Uncalluta, aguas arriba de la unión con el rio Ushusuma.",421 545,8 060 662,4 501,Cat. 4,Inactivo,USHUSUMA
Río,Ushusuma,RUshu1,"Rio Ushusuma, aguas arriba de intersección de camino con el rio Ushusuma - Sector Calacollo.",426 852,8 056 513,4 336,Cat. 4,Inactivo,USHUSUMA
Río,Ushusuma,RUshu2,"Rio Ushusuma, camino afirmado aguas arriba de bocatoma del canal Uchusuma.",432 448,8 056 606,4 263,Cat. 4,Activo,USHUSUMA
Quebrada,Carini,QCari1,"Quebrada Carini, salida de la represa Paucarani.",419 009,8 061 143,4 260,Cat. 4,Activo,USHUSUMA
Quebrada,Carini,QCari2,"Quebrada Carini, aproximadamente a 100 metros de la confluencia con la Quebrada Uncalluta.",421 520,8 060 627,4 483,Cat. 4,Inactivo,USHUSUMA
Embalse,Paucarani,EPauc1S,"Embalse Paucarani, al centro del espejo de agua, nivel superficie.",418 026,8 061 405,4 555,Cat. 4,Activo,USHUSUMA
Embalse,Paucarani,EPauc1F,"Embalse Paucarani, al centro del espejo de agua, nivel fondo.",418 026,8 061 405,4 555,Cat. 4,Activo,USHUSUMA
Embalse,Paucarani,EPauc2S,"Embalse Paucarani, cerca de la presa de concreto, nivel superficie.",418 817,8 061 230,4 555,Cat. 4,Activo,USHUSUMA
Embalse,Paucarani,EPauc2F,"Embalse Paucarani, cerca de la presa de concreto, nivel fondo.",418 817,8 061 230,4 555,Cat. 4,Activo,USHUSUMA
Rio,Quilvire,RQuiv1,"Rio Quilvire, aprox. 500 m aguas arriba de la laguna Vilacota.",389 098,8 111 469,4 569,Cat. 4,Inactivo,MAURI
Rio,Mauri,RMaur1,"Rio Mauri, aguas abajo de la confluencia del rio Ancoaque con Laguna Tacata.",397 832,8 100 052,4 419,Cat. 4,Inactivo,MAURI
Quebrada,Putina,QPuti1,"Quebrada Putina, aprox. 100 m  antes de la confluencia con el rio Mauri.",402 888,8 096 216,4 336,Cat. 4,Inactivo,MAURI
Rio,Mauri,RMaur3,"Rio Mauri, aprox, 10 m aguas abajo de los baños termales Calachaca.",408 331,8 094 532,4 395,Cat. 4,Activo,MAURI
Rio,Mauri,RMaur4,"Río Mauri, aprox. 100 m antes de la confluencia con el río Chiliculco.",416 977,8 093 143,4 243,Cat. 4,Activo,MAURI
Rio,Mauri,RMaur5,"Rio Mauri, aguas abajo de la confluencia del rio Mauri con el rio Callapuma.",424 232,8 088 875,4 227,Cat. 4,Inactivo,MAURI
Rio,Mauri,RMaur7,"Rio Mauri, aguas abajo de la confluencia con el río Chiliculco.",417 159,8 093 133,4 243,Cat. 4,Inactivo,MAURI
Laguna,Vilacota,LVila1S,"Laguna Vilacota, parte media del espejo de agua.",389 298,8 104 816,4 434,Cat. 4,Inactivo,MAURI
Laguna,Vilacota,LVila2S,"Laguna Vilacota, parte media del espejo de agua.",389 809,8 103 650,4 434,Cat. 4,Inactivo,MAURI
Quebrada,Vilavilani,QVila1,"Quebrada Vilavilani, a la Salida del Túnel Huaylillas.",412 951,8 030 473,4 232,Cat. 1 A2,Activo,INTERCUENCA13155
Quebrada ,Vilavilani,QVila2,"Quebrada Vilavilani, aprox. 6 km. Aguas arriba del poblado Vilavilani - Intersección con trocha carrozable.",409 214,8 027 695,3 823,Cat. 1 A2,Inactivo,INTERCUENCA13155
Quebrada,Vilavilani,QVila3,"Quebrada Vilavilani, aprox.  500 m aguas abajo del puente poblado Vilavilani",403 622,8 026 443,3 412,Cat. 1 A2,Activo,INTERCUENCA13155
Río,Uchusuma,RUchu1,"Río Uchusuma, 200 m aguas arriba de bocatoma Chuschuco",388 858,8 019 034,1 539,Cat. 1 A2,Activo,INTERCUENCA13155
Quebrada,Cachitala,QCach1,"Quebrada Cachitala, a la altura del complejo Baños de Putina",389 737,8 072 098,3 321,Cat. 3,Inactivo,SAMA
Río,Pistala,RPist1,"Rio Pistala, antes dela confluencia con el rio Aruma.",383 331,8 064 944,2 418,Cat. 3,Activo,SAMA
Río,Estique,REsti1,"Rio Estique, a la altura del puente Estique (80 m aguas abajo del puente).",390 192,8 061 398,3 003,Cat. 3,Inactivo,SAMA
Río,Aruma,RArum1,"Rio Aruma, antes de confluencia con el rio Pistala.",383 366,8 064 867,2 457,Cat. 3,Inactivo,SAMA
Río,Tala,RTala1,Rio Tala antes de confluencia con el rio Salado,375 891,8 067 561,2 189,Cat. 3,Activo,SAMA
Río,Salado,RSala1,"Rio Salado, aguas abajo de la ciudad de Sitajara.",378 782,8 078 049,2 891,Cat. 3,Inactivo,SAMA
Río,Salado,RSala2,Rio Salado antes de la confluencia con el rio Tala.,375 741,8 067 622,2 171,Cat. 3,Activo,SAMA
Río,Sama,RSama1,"Rio Sama, despues de confluencia del rio Salado y Tala.",375 546,8 067 525,2 166,Cat. 3,Inactivo,SAMA
Río,Sama,RSama2,"Rio Sama, altura del puente Putina.",369 954,8 065 317,1 912,Cat. 3,Activo,SAMA
Río,Sama,RSama3,Rio Sama Puente Coruca.,345 675,8 049 796,837,Cat. 3,Activo,SAMA
Río,Sama,RSama4,Rio Sama antes de la captacion de la Bocatoma La Tranca.,343 970,8 037 652,631,Cat. 3,Inactivo,SAMA
Río,Sama,RSama5,"Rio Sama, antes de la Captacion de la Bocatoma ""El Golpe""",330 192,8 016 460,279,Cat. 3,Activo,SAMA
Río,Sama,RSama6,"Rio Sama, Agua de afloramiento en el sector Boca del rio.",323 418,7 991 627,15,Cat. 3,Inactivo,SAMA
Quebrada,Kovire,QKovi1,"Quebrada Kovire, a 100 m de la salida del tunerl Kovire.",392 760,8 093 831,4 363,Cat. 3,Activo,SAMA
Río,Ticalaco,RTica2,"Rio Ticalaco, aguas arriba de la bocatoma Irabalaco.",394 155,8 071 769,3 584,Cat. 3,Activo,SAMA
Quebrada,Caparaja,QCapa1,"Quebrada Caparaja, aguas arriba del sector Caparaja.",400 732,8 071 036,4 147,Cat. 3,Inactivo,SAMA
Río,Tarata,RTara1,"Rio Tarata,  a 20 m aproximadamente de la carretera Tacna - Tarata",391 308,8 068 540,3 114,Cat. 3,Inactivo,SAMA
Río,Salado,RSala3,"Rio Salado, aguas arriba del dique Cano",386 813,8 089 986,4 162,Cat. 3,Inactivo,SAMA
Río,Ticalaco,RTica1,"Río Ticalaco, aguas arriba del puente",390 396,8 070 306,3 090,Cat. 3,Inactivo,SAMA
Embalse,Jarumas,EJaru1S,"Embalse Jarumas, cerca de la presa de concreto.",399 237,8 079 387,4 515,Cat. 4,Activo,SAMA
Embalse,Jarumas,EJaru1F,"Embalse Jarumas, cerca de la presa de concreto.",399 237,8 079 387,4 515,Cat. 4,Activo,SAMA
Embalse,Jarumas,EJaru2S,"Embalse Jarumas, al centro del espejo de agua.",398 433,8 080 137,4 514,Cat. 4,Activo,SAMA
Embalse,Jarumas,EJaru2F,"Embalse Jarumas, al centro del espejo de agua.",398 433,8 080 137,4 514,Cat. 4,Activo,SAMA
Rio,Jarumas,RJaru1,"Río Jarumas, salida del embalse Jarumas.",399 411,8 079 303,4 506,Cat. 4,Activo,SAMA
Rio,Mamaraya,RMama1,"Rio Mamaraya, afluente al embalse Jarumas.",398 899,8 081 760,4 522,Cat. 4,Activo,SAMA
